_nwb_path,subject_id,is_technically_valid,is_good_session,ecephys_session_id,recording_day,reward_block,block_order,online_labels_interpretable,interpretation_scope,n_label_trials,n_unavailable_label_comparisons,n_online_outcome_absent,n_online_outcome_conflicts,n_canonical_response_missing,n_label_comparisons,n_label_disagreements,agreement_rate
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,true,false,1173189336,EPHYS_2,engaged_1,1,true,reward_available_validation,19,0,0,0,0,19,0,1.0
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,true,false,1173189336,EPHYS_2,no_reward,2,false,audit_only_online_outcomes_not_state_independent,156,37,37,0,0,119,11,0.907563025210084
https://dandiarchive.s3.amazonaws.com/blobs/585/411/5854110b-2b31-4bbf-881e-3280f7b87b95,604914,true,false,1173189336,EPHYS_2,engaged_2,3,true,reward_available_validation,84,0,0,0,0,84,0,1.0
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,true,false,1173741216,EPHYS_4,engaged_1,1,true,reward_available_validation,64,0,0,0,0,64,0,1.0
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,true,false,1173741216,EPHYS_4,no_reward,2,false,audit_only_online_outcomes_not_state_independent,161,8,8,0,0,153,3,0.9803921568627451
https://dandiarchive.s3.amazonaws.com/blobs/e5f/59c/e5f59ceb-77c6-417f-a55e-4574c0d390ba,604914,true,false,1173741216,EPHYS_4,engaged_2,3,true,reward_available_validation,159,0,0,0,0,159,1,0.9937106918238994
https://dandiarchive.s3.amazonaws.com/blobs/324/6c5/3246c508-0142-4e96-b1f4-13ab63ee636e,607660,true,false,1182628226,EPHYS_2,engaged_1,1,true,reward_available_validation,47,0,0,0,0,47,0,1.0
https://dandiarchive.s3.amazonaws.com/blobs/324/6c5/3246c508-0142-4e96-b1f4-13ab63ee636e,607660,true,false,1182628226,EPHYS_2,no_reward,2,false,audit_only_online_outcomes_not_state_independent,157,45,45,0,0,112,1,0.9910714285714286
https://dandiarchive.s3.amazonaws.com/blobs/324/6c5/3246c508-0142-4e96-b1f4-13ab63ee636e,607660,true,false,1182628226,EPHYS_2,engaged_2,3,true,reward_available_validation,112,0,0,0,0,112,1,0.9910714285714286
https://dandiarchive.s3.amazonaws.com/blobs/c1b/70d/c1b70d41-1214-4afd-9fcc-b1a3b128c5d6,607660,true,false,1182427414,EPHYS_1,engaged_1,1,true,reward_available_validation,61,0,0,0,0,61,0,1.0
https://dandiarchive.s3.amazonaws.com/blobs/c1b/70d/c1b70d41-1214-4afd-9fcc-b1a3b128c5d6,607660,true,false,1182427414,EPHYS_1,no_reward,2,false,audit_only_online_outcomes_not_state_independent,159,66,66,0,0,93,8,0.9139784946236559
https://dandiarchive.s3.amazonaws.com/blobs/c1b/70d/c1b70d41-1214-4afd-9fcc-b1a3b128c5d6,607660,true,false,1182427414,EPHYS_1,engaged_2,3,true,reward_available_validation,112,0,0,0,0,112,0,1.0
https://dandiarchive.s3.amazonaws.com/blobs/d01/275/d012752e-19c8-4ea9-bba6-59bf0983cff5,607660,true,false,1183071525,EPHYS_4,engaged_1,1,true,reward_available_validation,34,0,0,0,0,34,0,1.0
https://dandiarchive.s3.amazonaws.com/blobs/d01/275/d012752e-19c8-4ea9-bba6-59bf0983cff5,607660,true,false,1183071525,EPHYS_4,no_reward,2,false,audit_only_online_outcomes_not_state_independent,156,39,39,0,0,117,1,0.9914529914529915
https://dandiarchive.s3.amazonaws.com/blobs/d01/275/d012752e-19c8-4ea9-bba6-59bf0983cff5,607660,true,false,1183071525,EPHYS_4,engaged_2,3,true,reward_available_validation,86,0,0,0,0,86,0,1.0
https://dandiarchive.s3.amazonaws.com/blobs/f23/541/f2354121-247a-43f9-a28f-6b8b8c4570d4,607660,true,false,1182871514,EPHYS_3,engaged_1,1,true,reward_available_validation,45,0,0,0,0,45,0,1.0
https://dandiarchive.s3.amazonaws.com/blobs/f23/541/f2354121-247a-43f9-a28f-6b8b8c4570d4,607660,true,false,1182871514,EPHYS_3,no_reward,2,false,audit_only_online_outcomes_not_state_independent,160,27,27,0,0,133,1,0.9924812030075187
https://dandiarchive.s3.amazonaws.com/blobs/f23/541/f2354121-247a-43f9-a28f-6b8b8c4570d4,607660,true,false,1182871514,EPHYS_3,engaged_2,3,true,reward_available_validation,91,2,0,2,0,89,1,0.9887640449438202
https://dandiarchive.s3.amazonaws.com/blobs/2b8/c4a/2b8c4a9d-2e57-4a8d-a9dd-3aa56cf82732,608671,true,false,1177900858,EPHYS_1,engaged_1,1,true,reward_available_validation,64,0,0,0,0,64,1,0.984375
