analysis_id,result_id,contrast_id,hypothesis,dandiset_version,code_version,seed,analysis_tier,inclusion_definition,missingness_stratum,estimate,scale,ci_low,ci_high,confidence_level,ci_method,test_statistic,test_method,p_value,adjusted_p_value,adjustment_method,multiplicity_family,sidedness,n_mice,n_sessions,n_probes,n_units,n_trials,aggregation,bootstrap_id,model_formula,cv_grouping,status,reason
simultaneous_network_interaction,MB_to_Isocortex_controlled_reversible_source_added_r2,real_minus_trial_shift_reversible_delta_r2,Positive-lag source-added target prediction is stronger in reward-available blocks than NR beyond the same contrast after within-block trial shifting,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1052,discovery,behavior-eligible discovery sessions; isolation QC; familiar full-contrast physical changes; no lick from -150 through +300 ms; equal trials and units,running/pupil not included in preliminary slice; eventual lick response and latency included; D04 consistency pending,0.010213663024834795,held-out target R-squared difference in reversible contrasts,-0.0024581899981601374,0.026647652516293915,0.95,mouse percentile bootstrap,0.010213663024834795,exact_two_sided_sign_flip,0.26953125,1.0,holm,discovery_region_pair_interaction_screen,two-sided,10,13,,580,738,equal-session mean within mouse; equal-mouse mean,mouse_percentile_seed_1052,"target late [150,300) ms residual ~ positive-lag source early [0,150) ms RRR after stimulus/time/eventual-response covariates and target early history",nested contiguous trials within block and session,fragile,positive_discovery_nomination_not_familywise_significant
simultaneous_network_interaction,TH_to_HPF_controlled_reversible_source_added_r2,real_minus_trial_shift_reversible_delta_r2,Positive-lag source-added target prediction is stronger in reward-available blocks than NR beyond the same contrast after within-block trial shifting,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1053,discovery,behavior-eligible discovery sessions; isolation QC; familiar full-contrast physical changes; no lick from -150 through +300 ms; equal trials and units,running/pupil not included in preliminary slice; eventual lick response and latency included; D04 consistency pending,0.008861708121570834,held-out target R-squared difference in reversible contrasts,0.0013761945529402087,0.01674147880786918,0.95,mouse percentile bootstrap,0.008861708121570834,exact_two_sided_sign_flip,0.0556640625,1.0,holm,discovery_region_pair_interaction_screen,two-sided,12,21,,1008,1206,equal-session mean within mouse; equal-mouse mean,mouse_percentile_seed_1053,"target late [150,300) ms residual ~ positive-lag source early [0,150) ms RRR after stimulus/time/eventual-response covariates and target early history",nested contiguous trials within block and session,null,discovery_screen_selection_biased
simultaneous_network_interaction,HPF_to_TH_controlled_reversible_source_added_r2,real_minus_trial_shift_reversible_delta_r2,Positive-lag source-added target prediction is stronger in reward-available blocks than NR beyond the same contrast after within-block trial shifting,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1054,discovery,behavior-eligible discovery sessions; isolation QC; familiar full-contrast physical changes; no lick from -150 through +300 ms; equal trials and units,running/pupil not included in preliminary slice; eventual lick response and latency included; D04 consistency pending,0.007538218655154566,held-out target R-squared difference in reversible contrasts,-0.0005763726632076917,0.015840612144894323,0.95,mouse percentile bootstrap,0.007538218655154566,exact_two_sided_sign_flip,0.1142578125,1.0,holm,discovery_region_pair_interaction_screen,two-sided,12,21,,1008,1206,equal-session mean within mouse; equal-mouse mean,mouse_percentile_seed_1054,"target late [150,300) ms residual ~ positive-lag source early [0,150) ms RRR after stimulus/time/eventual-response covariates and target early history",nested contiguous trials within block and session,null,discovery_screen_selection_biased
simultaneous_network_interaction,MB_to_HPF_controlled_reversible_source_added_r2,real_minus_trial_shift_reversible_delta_r2,Positive-lag source-added target prediction is stronger in reward-available blocks than NR beyond the same contrast after within-block trial shifting,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1055,discovery,behavior-eligible discovery sessions; isolation QC; familiar full-contrast physical changes; no lick from -150 through +300 ms; equal trials and units,running/pupil not included in preliminary slice; eventual lick response and latency included; D04 consistency pending,0.004755562590649481,held-out target R-squared difference in reversible contrasts,-0.003162165259455564,0.013511799398360119,0.95,mouse percentile bootstrap,0.004755562590649481,exact_two_sided_sign_flip,0.33203125,1.0,holm,discovery_region_pair_interaction_screen,two-sided,10,13,,580,738,equal-session mean within mouse; equal-mouse mean,mouse_percentile_seed_1055,"target late [150,300) ms residual ~ positive-lag source early [0,150) ms RRR after stimulus/time/eventual-response covariates and target early history",nested contiguous trials within block and session,null,discovery_screen_selection_biased
simultaneous_network_interaction,MB_to_STR_controlled_reversible_source_added_r2,real_minus_trial_shift_reversible_delta_r2,Positive-lag source-added target prediction is stronger in reward-available blocks than NR beyond the same contrast after within-block trial shifting,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1056,discovery,behavior-eligible discovery sessions; isolation QC; familiar full-contrast physical changes; no lick from -150 through +300 ms; equal trials and units,running/pupil not included in preliminary slice; eventual lick response and latency included; D04 consistency pending,0.003784693823006385,held-out target R-squared difference in reversible contrasts,-0.010274320019936656,0.01761527838621686,0.95,mouse percentile bootstrap,0.003784693823006385,exact_two_sided_sign_flip,0.61328125,1.0,holm,discovery_region_pair_interaction_screen,two-sided,9,12,,532,675,equal-session mean within mouse; equal-mouse mean,mouse_percentile_seed_1056,"target late [150,300) ms residual ~ positive-lag source early [0,150) ms RRR after stimulus/time/eventual-response covariates and target early history",nested contiguous trials within block and session,null,discovery_screen_selection_biased
simultaneous_network_interaction,STR_to_Isocortex_controlled_reversible_source_added_r2,real_minus_trial_shift_reversible_delta_r2,Positive-lag source-added target prediction is stronger in reward-available blocks than NR beyond the same contrast after within-block trial shifting,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1057,discovery,behavior-eligible discovery sessions; isolation QC; familiar full-contrast physical changes; no lick from -150 through +300 ms; equal trials and units,running/pupil not included in preliminary slice; eventual lick response and latency included; D04 consistency pending,0.0034430843044646383,held-out target R-squared difference in reversible contrasts,-0.011502059093792046,0.01944492314315601,0.95,mouse percentile bootstrap,0.0034430843044646383,exact_two_sided_sign_flip,0.6943359375,1.0,holm,discovery_region_pair_interaction_screen,two-sided,11,18,,864,1008,equal-session mean within mouse; equal-mouse mean,mouse_percentile_seed_1057,"target late [150,300) ms residual ~ positive-lag source early [0,150) ms RRR after stimulus/time/eventual-response covariates and target early history",nested contiguous trials within block and session,null,discovery_screen_selection_biased
simultaneous_network_interaction,TH_to_STR_controlled_reversible_source_added_r2,real_minus_trial_shift_reversible_delta_r2,Positive-lag source-added target prediction is stronger in reward-available blocks than NR beyond the same contrast after within-block trial shifting,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1058,discovery,behavior-eligible discovery sessions; isolation QC; familiar full-contrast physical changes; no lick from -150 through +300 ms; equal trials and units,running/pupil not included in preliminary slice; eventual lick response and latency included; D04 consistency pending,0.0023707733494734303,held-out target R-squared difference in reversible contrasts,-0.010548255070224482,0.01919637307686771,0.95,mouse percentile bootstrap,0.0023707733494734303,exact_two_sided_sign_flip,0.8818359375,1.0,holm,discovery_region_pair_interaction_screen,two-sided,11,18,,864,1008,equal-session mean within mouse; equal-mouse mean,mouse_percentile_seed_1058,"target late [150,300) ms residual ~ positive-lag source early [0,150) ms RRR after stimulus/time/eventual-response covariates and target early history",nested contiguous trials within block and session,null,discovery_screen_selection_biased
simultaneous_network_interaction,HPF_to_STR_controlled_reversible_source_added_r2,real_minus_trial_shift_reversible_delta_r2,Positive-lag source-added target prediction is stronger in reward-available blocks than NR beyond the same contrast after within-block trial shifting,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1059,discovery,behavior-eligible discovery sessions; isolation QC; familiar full-contrast physical changes; no lick from -150 through +300 ms; equal trials and units,running/pupil not included in preliminary slice; eventual lick response and latency included; D04 consistency pending,0.0017274648157538477,held-out target R-squared difference in reversible contrasts,-0.012868373897294276,0.020346588274103832,0.95,mouse percentile bootstrap,0.0017274648157538477,exact_two_sided_sign_flip,0.8828125,1.0,holm,discovery_region_pair_interaction_screen,two-sided,11,18,,864,1008,equal-session mean within mouse; equal-mouse mean,mouse_percentile_seed_1059,"target late [150,300) ms residual ~ positive-lag source early [0,150) ms RRR after stimulus/time/eventual-response covariates and target early history",nested contiguous trials within block and session,null,discovery_screen_selection_biased
simultaneous_network_interaction,TH_to_Isocortex_controlled_reversible_source_added_r2,real_minus_trial_shift_reversible_delta_r2,Positive-lag source-added target prediction is stronger in reward-available blocks than NR beyond the same contrast after within-block trial shifting,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1060,discovery,behavior-eligible discovery sessions; isolation QC; familiar full-contrast physical changes; no lick from -150 through +300 ms; equal trials and units,running/pupil not included in preliminary slice; eventual lick response and latency included; D04 consistency pending,0.0013308187364978405,held-out target R-squared difference in reversible contrasts,-0.006228547565050266,0.00937389042782521,0.95,mouse percentile bootstrap,0.0013308187364978405,exact_two_sided_sign_flip,0.75146484375,1.0,holm,discovery_region_pair_interaction_screen,two-sided,12,21,,1008,1206,equal-session mean within mouse; equal-mouse mean,mouse_percentile_seed_1060,"target late [150,300) ms residual ~ positive-lag source early [0,150) ms RRR after stimulus/time/eventual-response covariates and target early history",nested contiguous trials within block and session,null,discovery_screen_selection_biased
simultaneous_network_interaction,Isocortex_to_STR_controlled_reversible_source_added_r2,real_minus_trial_shift_reversible_delta_r2,Positive-lag source-added target prediction is stronger in reward-available blocks than NR beyond the same contrast after within-block trial shifting,0.260825.2232,b953bfdb128e3c196cb95c0499a91eeff0191f60+dirty,1061,discovery,behavior-eligible discovery sessions; isolation QC; familiar full-contrast physical changes; no lick from -150 through +300 ms; equal trials and units,running/pupil not included in preliminary slice; eventual lick response and latency included; D04 consistency pending,0.0012744975807130769,held-out target R-squared difference in reversible contrasts,-0.010409118505336658,0.01347282420738386,0.95,mouse percentile bootstrap,0.0012744975807130769,exact_two_sided_sign_flip,0.841796875,1.0,holm,discovery_region_pair_interaction_screen,two-sided,11,18,,864,1008,equal-session mean within mouse; equal-mouse mean,mouse_percentile_seed_1061,"target late [150,300) ms residual ~ positive-lag source early [0,150) ms RRR after stimulus/time/eventual-response covariates and target early history",nested contiguous trials within block and session,null,discovery_screen_selection_biased
